Channel,Signal,Genotype,Time,Area,Mean,Min,Max
green,background,WT,0,1034,39.314,23,61
green,background,WT,24,1034,19.662,6,27
green,background,WT,48,1034,36.613,7,59
green,background,WT,0,1034,35.682,18,52
green,background,WT,24,1034,32.723,6,50
green,background,WT,48,1034,35.957,13,56
green,background,WT,0,1034,35.275,13,64
green,background,WT,24,1034,31.24,12,49
green,background,WT,48,1034,33.35,19,60
green,background,5cKO,0,1034,23.314,5,33
green,background,5cKO,24,1034,17.691,2,27
green,background,5cKO,48,1034,24.164,2,53
green,KDM5C,WT,0,1034,91.23,6,186
green,KDM5C,WT,24,1034,70.85,7,172
green,KDM5C,WT,48,1034,43.673,3,75
green,KDM5C,WT,0,1034,87.83,9,154
green,KDM5C,WT,24,1034,96.526,9,193
green,KDM5C,WT,48,1034,34.824,10,55
green,KDM5C,WT,0,1034,76.439,7,148
green,KDM5C,WT,24,1034,91.415,7,186
green,KDM5C,WT,48,1034,35.241,14,85
green,KDM5C,5cKO,0,1034,23.393,5,40
green,KDM5C,5cKO,24,1034,21.038,0,32
green,KDM5C,5cKO,48,1034,22.812,3,43
red,background,WT,0,1034,87.863,80,95
red,background,WT,24,1034,74.69,69,79
red,background,WT,48,1034,85.641,74,94
red,background,WT,0,1034,74.467,68,78
red,background,WT,24,1034,70.654,58,75
red,background,WT,48,1034,67.234,57,74
red,background,WT,0,1034,62.721,54,69
red,background,WT,24,1034,66.785,57,71
red,background,WT,48,1034,73.358,69,86
red,background,5cKO,0,1034,76.68,68,84
red,background,5cKO,24,1034,73.41,59,79
red,background,5cKO,48,1034,83.046,66,94
red,DAXX,WT,0,1034,156.474,103,186
red,DAXX,WT,24,1034,119.151,96,141
red,DAXX,WT,48,1034,139.68,96,167
red,DAXX,WT,0,1034,129.051,97,159
red,DAXX,WT,24,1034,131.217,74,166
red,DAXX,WT,48,1034,118.074,83,140
red,DAXX,WT,0,1034,112.902,68,143
red,DAXX,WT,24,1034,128.047,69,158
red,DAXX,WT,48,1034,129.261,96,158
red,DAXX,5cKO,0,1034,132.338,92,158
red,DAXX,5cKO,24,1034,124.952,79,151
red,DAXX,5cKO,48,1034,141.539,104,164
