"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000039224",10.8642038717226,5.92375864632318,1.29532402695879,3.6922532962138e-09,6.73713151449144e-06,"Up","D1Pas1"
"ENSMUSG00000010342",64.3725606667747,2.95121748970077,0.281601692131192,5.18167352254565e-28,1.1345792344966e-23,"Up","Tex14"
"ENSMUSG00000020299",19.8721449292537,2.38041425362808,0.381313358181152,2.00751858148491e-11,5.49457835752419e-08,"Up","4930524B15Rik"
"ENSMUSG00000002076",23.8882661113404,2.29134158740581,0.526705979040877,1.93359396940461e-07,0.000192445334336743,"Up","Hsf2bp"
"ENSMUSG00000071470",13.8711168238438,1.75629643085102,0.629901348834091,5.26185253736301e-06,0.0032918149473743,"Up","Ccnb1ip1"
"ENSMUSG00000031027",39.0726128309442,1.09174211464678,0.410451385461358,1.11320393971663e-05,0.00609367836600886,"Up","Stk33"
"ENSMUSG00000056436",5.99848614770521,1.0916488567118,1.67667264836213,2.34947363009666e-05,0.0114320165787992,"Up","Cyct"
"ENSMUSG00000049123",13.5231097818659,0.736197587227672,0.74836270548914,0.000148109903233534,0.0514764197016105,"Up","Catsperg2"
"ENSMUSG00000023403",7.18610005425961,0.547124124936304,0.958504230165197,0.000226695650972246,0.0689406663012264,"Up","Stk31"
